Name	HR/9	K%	BB%	WHIP	BABIP	FIP
Clayton Kershaw	0.71	33.90%	5.00%	0.94	0.295	2.11
Chris Sale	0.81	32.30%	4.60%	0.99	0.304	2.31
Max Scherzer	0.82	30.00%	2.90%	0.83	0.254	2.35
Corey Kluber	0.67	27.90%	5.20%	1.12	0.325	2.54
Jacob deGrom	0.64	26.10%	4.70%	0.88	0.244	2.56
Jake Arrieta	0.6	26.90%	5.90%	1	0.279	2.6
Clay Buchholz	0.48	22.80%	4.90%	1.21	0.329	2.61
Zack Greinke	0.46	23.00%	4.60%	0.83	0.23	2.62
Chris Archer	0.8	30.30%	6.20%	1.02	0.284	2.62
Dallas Keuchel	0.48	22.50%	5.80%	0.99	0.262	2.68
Gerrit Cole	0.54	24.60%	5.30%	1.08	0.302	2.7
Lance Lynn	0.54	25.50%	7.60%	1.22	0.311	2.75
Tyson Ross	0.22	25.20%	10.90%	1.39	0.34	2.75
David Price	0.71	23.70%	4.80%	1.09	0.294	2.82
Carlos Carrasco	0.91	27.50%	5.40%	1.21	0.341	2.9
A.J. Burnett	0.41	20.10%	6.20%	1.29	0.332	2.94
Michael Pineda	0.99	23.90%	3.10%	1.22	0.338	2.95
Sonny Gray	0.53	21.40%	6.50%	1.01	0.251	2.96
Francisco Liriano	0.75	28.50%	8.80%	1.03	0.251	2.98
Jon Lester	0.72	23.60%	6.00%	1.2	0.309	2.99
Scott Kazmir	0.54	22.40%	7.70%	1.05	0.254	3.07
Jose Quintana	0.7	21.00%	5.00%	1.28	0.336	3.11
Johnny Cueto	0.76	23.30%	5.60%	0.93	0.234	3.13
Jesse Chavez	0.66	20.50%	6.30%	1.25	0.308	3.15
Jason Hammel	0.96	24.80%	4.90%	1.02	0.268	3.15
Shelby Miller	0.5	20.70%	7.90%	1.13	0.265	3.16
Gio Gonzalez	0.43	20.30%	8.60%	1.42	0.339	3.16
Jordan Zimmermann	0.66	17.70%	4.10%	1.23	0.315	3.16
Chris Heston	0.43	19.50%	6.90%	1.15	0.291	3.18
Madison Bumgarner	0.96	24.60%	4.90%	1.1	0.293	3.19
Cole Hamels	0.84	25.50%	7.30%	1.18	0.294	3.2
Felix Hernandez	0.76	23.90%	7.50%	1.07	0.265	3.25
Michael Wacha	0.76	20.30%	6.00%	1.12	0.269	3.3
Kyle Hendricks	0.86	20.50%	4.90%	1.17	0.3	3.35
Alex Wood	0.6	17.70%	7.10%	1.41	0.332	3.38
Carlos Martinez	0.75	24.70%	9.80%	1.23	0.289	3.41
Nathan Eovaldi	0.64	16.50%	6.20%	1.48	0.348	3.42
John Lackey	0.69	17.10%	5.80%	1.23	0.293	3.45
Danny Salazar	1.21	28.80%	7.00%	1.14	0.292	3.47
Jeff Samardzija	0.9	18.70%	4.50%	1.19	0.3	3.53
Brett Anderson	0.73	17.40%	6.60%	1.33	0.322	3.56
Bartolo Colon	1.15	18.50%	2.80%	1.24	0.31	3.59
Garrett Richards	0.7	18.30%	8.10%	1.18	0.261	3.64
Jeff Locke	0.58	17.70%	8.70%	1.41	0.315	3.65
Ubaldo Jimenez	1.02	22.90%	7.60%	1.35	0.321	3.66
Matt Harvey	1.15	23.00%	6.10%	1.09	0.265	3.69
Yovani Gallardo	0.59	16.10%	8.90%	1.32	0.28	3.69
David Phelps	0.72	16.00%	6.60%	1.28	0.289	3.7
C.J. Wilson	0.77	20.10%	8.10%	1.21	0.277	3.71
J.A. Happ	0.85	17.90%	6.90%	1.36	0.315	3.72
Edinson Volquez	0.64	17.80%	8.80%	1.28	0.279	3.72
Nate Karns	0.94	22.10%	8.40%	1.21	0.274	3.73
Andrew Cashner	1	20.60%	7.10%	1.31	0.307	3.77
Collin McHugh	0.99	18.40%	5.40%	1.28	0.31	3.81
Colby Lewis	1.07	18.30%	4.80%	1.19	0.286	3.83
Hector Santiago	1.06	22.70%	7.70%	1.15	0.259	3.83
Mark Buehrle	0.87	12.20%	3.80%	1.19	0.283	3.84
Mike Fiers	1.13	23.80%	8.60%	1.38	0.319	3.88
Jeremy Hellickson	1.17	19.80%	6.50%	1.32	0.301	3.94
Anthony DeSclafani	0.8	17.00%	8.80%	1.37	0.292	3.94
Mike Leake	0.98	16.50%	6.30%	1.18	0.269	3.94
Alfredo Simon	0.89	16.90%	8.00%	1.46	0.317	3.96
Wade Miley	0.79	16.90%	9.00%	1.37	0.293	3.96
Kyle Gibson	0.87	17.00%	7.50%	1.27	0.284	3.97
Drew Hutchison	1.08	20.40%	7.10%	1.5	0.351	3.98
Aaron Harang	1.02	16.40%	6.10%	1.24	0.28	4.07
Jimmy Nelson	0.96	19.80%	8.50%	1.29	0.291	4.08
Chris Tillman	0.86	17.50%	9.40%	1.4	0.303	4.1
James Shields	1.42	26.90%	8.80%	1.32	0.314	4.12
Mike Pelfrey	0.6	11.10%	7.30%	1.47	0.323	4.15
Chase Anderson	1.03	15.30%	5.90%	1.28	0.294	4.22
Trevor Bauer	1.33	23.90%	9.70%	1.26	0.267	4.24
Wei-Yin Chen	1.41	19.40%	5.30%	1.13	0.264	4.26
Taijuan Walker	1.52	22.80%	6.20%	1.3	0.31	4.29
Jon Niese	1.01	14.70%	6.90%	1.38	0.294	4.31
Tom Koehler	1.05	17.10%	8.60%	1.2	0.252	4.32
Anibal Sanchez	1.45	21.20%	7.50%	1.25	0.276	4.35
John Danks	1.24	15.70%	6.30%	1.45	0.317	4.36
