Name,hr9,hr9nr,kPerc,kPercn,BBPerc,BBPercnr,WHIP,WHIPnr,BABIP,BABIPnr,FIP,FIPnr
Clayton Kershaw,0.71,0.724719101,0.34,1,0.05,0.666666667,0.94,0.847222222,0.295,0.462809917,2.11,1
Chris Sale,0.81,0.668539326,0.32,0.913043478,0.05,0.666666667,0.99,0.777777778,0.304,0.388429752,2.31,0.948586118
Max Scherzer,0.82,0.662921348,0.3,0.826086957,0.03,0.888888889,0.83,1,0.254,0.801652893,2.35,0.938303342
Corey Kluber,0.67,0.747191011,0.28,0.739130435,0.05,0.666666667,1.12,0.597222222,0.325,0.214876033,2.54,0.889460154
Jacob deGrom,0.64,0.764044944,0.26,0.652173913,0.05,0.666666667,0.88,0.930555556,0.244,0.884297521,2.56,0.884318766
Jake Arrieta,0.6,0.786516854,0.27,0.695652174,0.06,0.555555556,1,0.763888889,0.279,0.595041322,2.6,0.87403599
Clay Buchholz,0.48,0.853932584,0.23,0.52173913,0.05,0.666666667,1.21,0.472222222,0.329,0.181818182,2.61,0.871465296
Zack Greinke,0.46,0.865168539,0.23,0.52173913,0.05,0.666666667,0.83,1,0.23,1,2.62,0.868894602
Chris Archer,0.8,0.674157303,0.3,0.826086957,0.06,0.555555556,1.02,0.736111111,0.284,0.553719008,2.62,0.868894602
Dallas Keuchel,0.48,0.853932584,0.23,0.52173913,0.06,0.555555556,0.99,0.777777778,0.262,0.73553719,2.68,0.853470437
Gerrit Cole,0.54,0.820224719,0.25,0.608695652,0.05,0.666666667,1.08,0.652777778,0.302,0.404958678,2.7,0.848329049
Lance Lynn,0.54,0.820224719,0.26,0.652173913,0.08,0.333333333,1.22,0.458333333,0.311,0.330578512,2.75,0.835475578
Tyson Ross,0.22,1,0.25,0.608695652,0.11,0,1.39,0.222222222,0.34,0.090909091,2.75,0.835475578
David Price,0.71,0.724719101,0.24,0.565217391,0.05,0.666666667,1.09,0.638888889,0.294,0.47107438,2.82,0.81748072
Carlos Carrasco,0.91,0.612359551,0.28,0.739130435,0.05,0.666666667,1.21,0.472222222,0.341,0.082644628,2.9,0.796915167
A.J. Burnett,0.41,0.893258427,0.2,0.391304348,0.06,0.555555556,1.29,0.361111111,0.332,0.157024793,2.94,0.786632391
Michael Pineda,0.99,0.56741573,0.24,0.565217391,0.03,0.888888889,1.22,0.458333333,0.338,0.107438017,2.95,0.784061697
Sonny Gray,0.53,0.825842697,0.21,0.434782609,0.07,0.444444444,1.01,0.75,0.251,0.826446281,2.96,0.781491003
Francisco Liriano,0.75,0.702247191,0.29,0.782608696,0.09,0.222222222,1.03,0.722222222,0.251,0.826446281,2.98,0.776349614
