Team,BBPerc,BBn,Kperc,Knr,ISO,ISOn,Spd,Spdn,Def,Defn
Blue Jays,0.088,0.88,0.18,0.65,0.183,1.00,4.3,0.48,-9.8,0.40
Dodgers,0.092,1.00,0.20,0.42,0.17,0.82,3.4,0.05,24.2,0.79
Tigers,0.074,0.47,0.20,0.43,0.154,0.60,4.7,0.67,-1.8,0.49
Yankees,0.086,0.82,0.19,0.57,0.174,0.88,3.8,0.24,-31.1,0.15
Rockies,0.065,0.21,0.21,0.32,0.167,0.78,4.9,0.76,20.3,0.74
Giants,0.071,0.38,0.18,0.67,0.14,0.41,4.5,0.57,36.3,0.93
Diamondbacks,0.078,0.59,0.21,0.38,0.145,0.48,5.4,1.00,39.7,0.97
Astros,0.082,0.71,0.24,0.04,0.18,0.96,4.5,0.57,-15.9,0.33
Royals,0.058,0.00,0.16,1.00,0.138,0.38,5.1,0.86,37.8,0.95
Orioles,0.066,0.24,0.22,0.20,0.168,0.79,3.9,0.29,13.6,0.67
Rangers,0.076,0.53,0.21,0.39,0.152,0.58,4.6,0.62,-5.8,0.44
Red Sox,0.078,0.59,0.18,0.75,0.137,0.37,4.5,0.57,-16,0.33
Indians,0.090,0.94,0.19,0.60,0.134,0.33,4,0.33,-18.6,0.30
Reds,0.081,0.68,0.19,0.55,0.149,0.53,4.8,0.71,36.2,0.93
Pirates,0.068,0.29,0.21,0.35,0.134,0.33,4.6,0.62,2.4,0.54
Cardinals,0.079,0.62,0.20,0.44,0.134,0.33,4.1,0.38,37,0.94
Nationals,0.082,0.71,0.21,0.31,0.143,0.45,3.9,0.29,13.5,0.67
Rays,0.074,0.47,0.22,0.23,0.148,0.52,4.5,0.57,21.5,0.76
Mariners,0.076,0.53,0.21,0.30,0.156,0.63,3.5,0.10,-17.7,0.31
Angels,0.075,0.50,0.20,0.52,0.145,0.48,3.3,0.00,-2.4,0.48
Twins,0.068,0.29,0.20,0.42,0.15,0.55,4.8,0.71,-10,0.40
Cubs,0.091,0.97,0.24,0.00,0.136,0.36,4.5,0.57,42.5,1.00
Athletics,0.076,0.53,0.18,0.75,0.133,0.32,4.8,0.71,-41.8,0.03
Brewers,0.067,0.26,0.21,0.39,0.14,0.41,4.5,0.57,4.8,0.57
White Sox,0.062,0.12,0.21,0.39,0.131,0.29,3.8,0.24,-44.5,0.00
Phillies,0.059,0.03,0.20,0.49,0.127,0.23,4.5,0.57,-10.4,0.39
Marlins,0.065,0.21,0.20,0.45,0.12,0.14,4.7,0.67,39.3,0.96
Braves,0.073,0.44,0.18,0.69,0.11,0.00,3.9,0.29,11.1,0.64
Mets,0.075,0.50,0.21,0.31,0.133,0.32,3.5,0.10,33.9,0.90
Padres,0.069,0.32,0.22,0.18,0.133,0.32,4.9,0.76,-3.7,0.47
